GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,86,2,9,1,16,2,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,28,232,5,8,10,60,5,9,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,73,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,13,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,27,35,6,2,6,13,6,7,2,7
parking-system,com.parkit.parkingsystem.model,Ticket,0,52,0,0,0,22,0,15,0,15
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,69,248,3,5,8,62,3,7,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,6,105,2,2,2,29,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,45,2,4,6,20,2,7,0,6
