GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,7,98,3,14,1,17,3,9,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,11,259,3,10,4,68,3,11,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,34,28,8,0,8,11,7,6,3,6
parking-system,com.parkit.parkingsystem.model,Ticket,6,84,2,6,2,28,2,17,0,15
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,40,12,4,0,13,3,4,2,2,2
parking-system,com.parkit.parkingsystem.dao,TicketDAO,29,253,3,5,8,63,3,7,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,6,105,2,2,2,29,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,45,2,4,6,20,2,7,0,6
